,anno,settimana,luogo,tipo_valore,id_valore,orizzonte,valore
668,2023,46,15,quantile,0.3,1,5.6995191283963305
669,2023,46,15,quantile,0.3,2,6.320218743865301
670,2023,46,15,quantile,0.3,3,6.175174354207189
671,2023,46,15,quantile,0.3,4,5.8867302209030985
672,2023,46,16,quantile,0.3,1,4.854519128396331
673,2023,46,16,quantile,0.3,2,5.345218743865299
674,2023,46,16,quantile,0.3,3,5.167674354207189
675,2023,46,16,quantile,0.3,4,4.898730220903098
676,2023,46,17,quantile,0.3,1,6.54451912839633
677,2023,46,17,quantile,0.3,2,7.2952187438653
678,2023,46,17,quantile,0.3,3,7.1826743542071885
679,2023,46,17,quantile,0.3,4,6.874730220903098
680,2023,46,18,quantile,0.3,1,6.53151912839633
681,2023,46,18,quantile,0.3,2,7.2802187438653
682,2023,46,18,quantile,0.3,3,7.167174354207189
683,2023,46,18,quantile,0.3,4,6.859530220903098
684,2023,46,12,quantile,0.3,1,9.001519128396332
685,2023,46,12,quantile,0.3,2,10.1302187438653
686,2023,46,12,quantile,0.3,3,10.11217435420719
687,2023,46,12,quantile,0.3,4,9.7475302209031
688,2023,46,13,quantile,0.3,1,7.5325191283963315
689,2023,46,13,quantile,0.3,2,8.4352187438653
690,2023,46,13,quantile,0.3,3,8.36067435420719
691,2023,46,13,quantile,0.3,4,8.029930220903099
692,2023,46,19,quantile,0.3,1,5.51751912839633
693,2023,46,19,quantile,0.3,2,6.1102187438653
694,2023,46,19,quantile,0.3,3,5.9581743542071885
695,2023,46,19,quantile,0.3,4,5.673930220903098
696,2023,46,20,quantile,0.3,1,9.001519128396332
697,2023,46,20,quantile,0.3,2,10.1302187438653
698,2023,46,20,quantile,0.3,3,10.11217435420719
699,2023,46,20,quantile,0.3,4,9.7475302209031
700,2023,46,21,quantile,0.3,1,8.20851912839633
701,2023,46,21,quantile,0.3,2,9.2152187438653
702,2023,46,21,quantile,0.3,3,9.166674354207188
703,2023,46,21,quantile,0.3,4,8.820330220903099
704,2023,46,01,quantile,0.35,1,11.031955207107137
705,2023,46,01,quantile,0.35,2,12.54096485730146
706,2023,46,01,quantile,0.35,3,12.697621302831708
707,2023,46,01,quantile,0.35,4,12.32773798156574
708,2023,46,02,quantile,0.35,1,9.237955207107136
709,2023,46,02,quantile,0.35,2,10.47096485730146
710,2023,46,02,quantile,0.35,3,10.558621302831709
711,2023,46,02,quantile,0.35,4,10.230137981565742
712,2023,46,03,quantile,0.35,1,9.237955207107136
713,2023,46,03,quantile,0.35,2,10.47096485730146
714,2023,46,03,quantile,0.35,3,10.558621302831709
715,2023,46,03,quantile,0.35,4,10.230137981565742
716,2023,46,04,quantile,0.35,1,7.469955207107135
717,2023,46,04,quantile,0.35,2,8.43096485730146
718,2023,46,04,quantile,0.35,3,8.450621302831708
719,2023,46,04,quantile,0.35,4,8.16293798156574
720,2023,46,05,quantile,0.35,1,10.628955207107136
721,2023,46,05,quantile,0.35,2,12.07596485730146
722,2023,46,05,quantile,0.35,3,12.217121302831709
723,2023,46,05,quantile,0.35,4,11.85653798156574
724,2023,46,06,quantile,0.35,1,3.2059552071071358
725,2023,46,06,quantile,0.35,2,3.510964857301459
726,2023,46,06,quantile,0.35,3,3.366621302831708
727,2023,46,06,quantile,0.35,4,3.1773379815657403
728,2023,46,IT,quantile,0.35,1,9.237955207107136
729,2023,46,IT,quantile,0.35,2,10.47096485730146
730,2023,46,IT,quantile,0.35,3,10.558621302831709
731,2023,46,IT,quantile,0.35,4,10.230137981565742
732,2023,46,07,quantile,0.35,1,6.871955207107135
733,2023,46,07,quantile,0.35,2,7.740964857301459
734,2023,46,07,quantile,0.35,3,7.737621302831709
735,2023,46,07,quantile,0.35,4,7.463737981565741
736,2023,46,08,quantile,0.35,1,9.744955207107136
737,2023,46,08,quantile,0.35,2,11.05596485730146
738,2023,46,08,quantile,0.35,3,11.163121302831708
739,2023,46,08,quantile,0.35,4,10.82293798156574
740,2023,46,09,quantile,0.35,1,13.436955207107136
741,2023,46,09,quantile,0.35,2,15.315964857301458
742,2023,46,09,quantile,0.35,3,15.565121302831708
743,2023,46,09,quantile,0.35,4,15.13973798156574
744,2023,46,10,quantile,0.35,1,7.976955207107134
745,2023,46,10,quantile,0.35,2,9.01596485730146
746,2023,46,10,quantile,0.35,3,9.055121302831708
747,2023,46,10,quantile,0.35,4,8.75573798156574
748,2023,46,11,quantile,0.35,1,1.6849552071071352
749,2023,46,11,quantile,0.35,2,1.7559648573014592
750,2023,46,11,quantile,0.35,3,1.5531213028317077
751,2023,46,11,quantile,0.35,4,1.39893798156574
752,2023,46,14,quantile,0.35,1,11.785955207107136
753,2023,46,14,quantile,0.35,2,13.41096485730146
754,2023,46,14,quantile,0.35,3,13.596621302831707
755,2023,46,14,quantile,0.35,4,13.20933798156574
756,2023,46,15,quantile,0.35,1,5.935955207107135
757,2023,46,15,quantile,0.35,2,6.660964857301459
758,2023,46,15,quantile,0.35,3,6.621621302831708
759,2023,46,15,quantile,0.35,4,6.3693379815657405
760,2023,46,16,quantile,0.35,1,5.090955207107135
761,2023,46,16,quantile,0.35,2,5.6859648573014585
762,2023,46,16,quantile,0.35,3,5.614121302831707
763,2023,46,16,quantile,0.35,4,5.38133798156574
764,2023,46,17,quantile,0.35,1,6.780955207107135
765,2023,46,17,quantile,0.35,2,7.635964857301459
766,2023,46,17,quantile,0.35,3,7.629121302831708
767,2023,46,17,quantile,0.35,4,7.35733798156574
768,2023,46,18,quantile,0.35,1,6.767955207107135
769,2023,46,18,quantile,0.35,2,7.620964857301458
770,2023,46,18,quantile,0.35,3,7.613621302831708
771,2023,46,18,quantile,0.35,4,7.34213798156574
772,2023,46,12,quantile,0.35,1,9.237955207107136
773,2023,46,12,quantile,0.35,2,10.47096485730146
774,2023,46,12,quantile,0.35,3,10.558621302831709
775,2023,46,12,quantile,0.35,4,10.230137981565742
