origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.3,190.71058099171137
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.3,186.0475685330676
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.35,203.53039801436265
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.35,198.0837324392897
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.35,193.1330851440403
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.35,188.6116743437506
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.4,205.5274706384448
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.4,200.302945725952
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.4,195.52648706187784
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.4,191.1449768187649
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.45,207.5087286365819
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.45,202.5045852761372
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.45,197.9009358602291
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.45,193.65821831524224
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.5,209.4821883470493
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.5,204.69755911061372
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.5,200.26603876077
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.5,196.1615676219133
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.55,211.4556480575166
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.55,206.8905329450904
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.55,202.6311416613109
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.55,198.6649169285843
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.6,213.4369060556537
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.6,209.0921724952756
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.6,205.0055904596622
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.6,201.17815842506167
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.65,215.4339786797359
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.65,211.31138578193784
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.65,207.39899237749967
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.65,203.711460900076
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.7,217.45533442792245
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.7,213.55758328089365
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.7,209.82149652982864
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.7,206.27556671075897
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.75,219.51016247645023
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.75,215.8409763093244
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.75,212.2841157319886
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.75,208.8821324001046
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.8,221.6086990850503
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.8,218.17293973829203
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.8,214.7991176818971
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.8,211.54414274482988
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.85,223.762644619968
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.85,220.56647540254104
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.85,217.3805247434248
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.85,214.2764397523864
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.9,225.98571982996043
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.9,223.0368302528219
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.9,220.04478061821465
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.9,217.09642830147823
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.95,228.29443742061832
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.95,225.60235375484947
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.95,222.81167504288047
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.95,220.0250548902136
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.975,229.48709925706572
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.975,226.9276791145897
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.975,224.24102673107805
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.975,221.5379558962628
2025-03-12,ILI incidence,2025-03-09,1,DK,quantile,0.99,230.2166238418785
2025-03-12,ILI incidence,2025-03-16,2,DK,quantile,0.99,227.7383510110647
2025-03-12,ILI incidence,2025-03-23,3,DK,quantile,0.99,225.115329207285
2025-03-12,ILI incidence,2025-03-30,4,DK,quantile,0.99,222.4633636225537
2025-03-12,ILI incidence,2025-03-09,1,DK,median,,209.4821883470493
2025-03-12,ILI incidence,2025-03-16,2,DK,median,,204.69755911061372
2025-03-12,ILI incidence,2025-03-23,3,DK,median,,200.26603876077
2025-03-12,ILI incidence,2025-03-30,4,DK,median,,196.1615676219133
2025-03-12,ILI incidence,2025-03-09,1,FI,quantile,0.01,108.8884336705164
2025-03-12,ILI incidence,2025-03-16,2,FI,quantile,0.01,88.49563364041364
2025-03-12,ILI incidence,2025-03-23,3,FI,quantile,0.01,72.62230242174957
2025-03-12,ILI incidence,2025-03-30,4,FI,quantile,0.01,59.91005702313939
2025-03-12,ILI incidence,2025-03-09,1,FI,quantile,0.025,109.30471088029616
2025-03-12,ILI incidence,2025-03-16,2,FI,quantile,0.025,89.05027007969736
2025-03-12,ILI incidence,2025-03-23,3,FI,quantile,0.025,73.25485341929439
2025-03-12,ILI incidence,2025-03-30,4,FI,quantile,0.025,60.59109526326354
2025-03-12,ILI incidence,2025-03-09,1,FI,quantile,0.05,109.98526086013632
2025-03-12,ILI incidence,2025-03-16,2,FI,quantile,0.05,89.95701637448695
2025-03-12,ILI incidence,2025-03-23,3,FI,quantile,0.05,74.28897817682017
2025-03-12,ILI incidence,2025-03-30,4,FI,quantile,0.05,61.70448929420769
2025-03-12,ILI incidence,2025-03-09,1,FI,quantile,0.1,111.302648288629
2025-03-12,ILI incidence,2025-03-16,2,FI,quantile,0.1,91.71226757568262
2025-03-12,ILI incidence,2025-03-23,3,FI,quantile,0.1,76.29080463397099
2025-03-12,ILI incidence,2025-03-30,4,FI,quantile,0.1,63.85976273888416
