orizzonte,luogo,tipo_valore,id_valore,valore,anno,settimana,target
2,02,quantile,0.75,16.32828640356096,2025,51,ARI
3,02,quantile,0.75,17.59368800100854,2025,51,ARI
4,02,quantile,0.75,17.340163187213705,2025,51,ARI
-1,02,quantile,0.8,12.275934777414712,2025,51,ARI
0,02,quantile,0.8,13.205682167839402,2025,51,ARI
1,02,quantile,0.8,14.590805445919234,2025,51,ARI
2,02,quantile,0.8,16.655504397121685,2025,51,ARI
3,02,quantile,0.8,18.109976048161347,2025,51,ARI
4,02,quantile,0.8,17.825205303678775,2025,51,ARI
-1,02,quantile,0.85,12.324367949829648,2025,51,ARI
0,02,quantile,0.85,13.23463087848188,2025,51,ARI
1,02,quantile,0.85,14.681934875690084,2025,51,ARI
2,02,quantile,0.85,16.77397826520325,2025,51,ARI
3,02,quantile,0.85,18.35854464746533,2025,51,ARI
4,02,quantile,0.85,18.39184676294724,2025,51,ARI
-1,02,quantile,0.9,12.410927999163253,2025,51,ARI
0,02,quantile,0.9,13.301625123659418,2025,51,ARI
1,02,quantile,0.9,14.78935630656272,2025,51,ARI
2,02,quantile,0.9,17.0047558625596,2025,51,ARI
3,02,quantile,0.9,18.56568873897495,2025,51,ARI
4,02,quantile,0.9,18.873422980394764,2025,51,ARI
-1,02,quantile,0.95,12.519203340750112,2025,51,ARI
0,02,quantile,0.95,13.39440966395923,2025,51,ARI
1,02,quantile,0.95,15.025534093040152,2025,51,ARI
2,02,quantile,0.95,17.33377158671791,2025,51,ARI
3,02,quantile,0.95,19.038470184562147,2025,51,ARI
4,02,quantile,0.95,19.239173898730872,2025,51,ARI
-1,02,quantile,0.975,12.590457459437872,2025,51,ARI
0,02,quantile,0.975,13.438728171068105,2025,51,ARI
1,02,quantile,0.975,15.292344137028566,2025,51,ARI
2,02,quantile,0.975,17.701595483180856,2025,51,ARI
3,02,quantile,0.975,19.423725087770524,2025,51,ARI
4,02,quantile,0.975,19.490625896992288,2025,51,ARI
-1,02,quantile,0.99,12.669763624759987,2025,51,ARI
0,02,quantile,0.99,13.522262335190456,2025,51,ARI
1,02,quantile,0.99,15.371936303257042,2025,51,ARI
2,02,quantile,0.99,18.16755325246358,2025,51,ARI
3,02,quantile,0.99,19.863647941360888,2025,51,ARI
4,02,quantile,0.99,19.800107776327103,2025,51,ARI
-1,07,quantile,0.01,12.83246029717878,2025,51,ARI
0,07,quantile,0.01,14.460856007622914,2025,51,ARI
1,07,quantile,0.01,16.27696867913406,2025,51,ARI
2,07,quantile,0.01,18.20154488188092,2025,51,ARI
3,07,quantile,0.01,17.69862484692372,2025,51,ARI
4,07,quantile,0.01,15.182461534927576,2025,51,ARI
-1,07,quantile,0.025,12.972553698393885,2025,51,ARI
0,07,quantile,0.025,14.494176852444602,2025,51,ARI
1,07,quantile,0.025,16.435516176466788,2025,51,ARI
2,07,quantile,0.025,18.69546924160832,2025,51,ARI
3,07,quantile,0.025,18.25642101121356,2025,51,ARI
4,07,quantile,0.025,15.502888684821002,2025,51,ARI
-1,07,quantile,0.05,13.03929367194084,2025,51,ARI
0,07,quantile,0.05,14.620931563533508,2025,51,ARI
1,07,quantile,0.05,16.53288798477048,2025,51,ARI
2,07,quantile,0.05,18.9109221736989,2025,51,ARI
3,07,quantile,0.05,19.24372569330696,2025,51,ARI
4,07,quantile,0.05,16.381111538195753,2025,51,ARI
-1,07,quantile,0.1,13.284484644265842,2025,51,ARI
0,07,quantile,0.1,14.847189937128578,2025,51,ARI
1,07,quantile,0.1,16.797081375467805,2025,51,ARI
2,07,quantile,0.1,19.23438999294417,2025,51,ARI
3,07,quantile,0.1,19.952745408702107,2025,51,ARI
4,07,quantile,0.1,17.40747465972911,2025,51,ARI
-1,07,quantile,0.15,13.357545530989974,2025,51,ARI
0,07,quantile,0.15,15.124939566875982,2025,51,ARI
1,07,quantile,0.15,17.255049777076163,2025,51,ARI
2,07,quantile,0.15,19.84080845667128,2025,51,ARI
3,07,quantile,0.15,20.43300494587457,2025,51,ARI
4,07,quantile,0.15,18.16069413771872,2025,51,ARI
-1,07,quantile,0.2,13.482992741317544,2025,51,ARI
0,07,quantile,0.2,15.244948932159469,2025,51,ARI
1,07,quantile,0.2,17.497520206312313,2025,51,ARI
2,07,quantile,0.2,20.18376249389708,2025,51,ARI
3,07,quantile,0.2,20.731118054328206,2025,51,ARI
4,07,quantile,0.2,18.55766216458013,2025,51,ARI
-1,07,quantile,0.25,13.654969419851296,2025,51,ARI
0,07,quantile,0.25,15.408640043254014,2025,51,ARI
1,07,quantile,0.25,17.60462661048757,2025,51,ARI
2,07,quantile,0.25,20.428533657794738,2025,51,ARI
3,07,quantile,0.25,20.97792143162693,2025,51,ARI
4,07,quantile,0.25,18.964697937811536,2025,51,ARI
-1,07,quantile,0.3,13.807386261804348,2025,51,ARI
0,07,quantile,0.3,15.706616926454286,2025,51,ARI
1,07,quantile,0.3,17.779484204737685,2025,51,ARI
2,07,quantile,0.3,20.52081638274208,2025,51,ARI
3,07,quantile,0.3,21.42206284966855,2025,51,ARI
4,07,quantile,0.3,19.58740067598625,2025,51,ARI
-1,07,quantile,0.35,13.92727120152536,2025,51,ARI
0,07,quantile,0.35,15.915451497374594,2025,51,ARI
