anno,settimana,luogo,tipo_valore,id_valore,orizzonte,target,valore
2025,2,03,quantile,0.05,1,ILI,8.232315874663271
2025,2,03,quantile,0.05,2,ILI,7.173275740370759
2025,2,03,quantile,0.05,3,ILI,6.188781755631647
2025,2,03,quantile,0.05,4,ILI,5.149509802253919
2025,2,03,quantile,0.1,-1,ILI,5.4853
2025,2,03,quantile,0.1,0,ILI,5.835
2025,2,03,quantile,0.1,1,ILI,9.35358633194331
2025,2,03,quantile,0.1,2,ILI,8.478295760322325
2025,2,03,quantile,0.1,3,ILI,7.5904977919835215
2025,2,03,quantile,0.1,4,ILI,6.4009568800623065
2025,2,03,quantile,0.15,-1,ILI,6.467
2025,2,03,quantile,0.15,0,ILI,7.2072
2025,2,03,quantile,0.15,1,ILI,10.21576714694033
2025,2,03,quantile,0.15,2,ILI,9.37988012848175
2025,2,03,quantile,0.15,3,ILI,8.355382695580264
2025,2,03,quantile,0.15,4,ILI,7.2497553509274315
2025,2,03,quantile,0.2,-1,ILI,7.4586
2025,2,03,quantile,0.2,0,ILI,8.1896
2025,2,03,quantile,0.2,1,ILI,10.724467333964112
2025,2,03,quantile,0.2,2,ILI,9.992349734715978
2025,2,03,quantile,0.2,3,ILI,9.032622367472605
2025,2,03,quantile,0.2,4,ILI,7.968490079360551
2025,2,03,quantile,0.25,-1,ILI,8.3442
2025,2,03,quantile,0.25,0,ILI,9.0096
2025,2,03,quantile,0.25,1,ILI,11.21144486908019
2025,2,03,quantile,0.25,2,ILI,10.563951819374061
2025,2,03,quantile,0.25,3,ILI,9.698780283872715
2025,2,03,quantile,0.25,4,ILI,8.612879439716735
2025,2,03,quantile,0.3,-1,ILI,9.2617
2025,2,03,quantile,0.3,0,ILI,9.8089
2025,2,03,quantile,0.3,1,ILI,11.535892961901602
2025,2,03,quantile,0.3,2,ILI,11.007149554538858
2025,2,03,quantile,0.3,3,ILI,10.252805220394059
2025,2,03,quantile,0.3,4,ILI,9.191409292531262
2025,2,03,quantile,0.35,-1,ILI,9.9116
2025,2,03,quantile,0.35,0,ILI,10.5132
2025,2,03,quantile,0.35,1,ILI,11.935127351780949
2025,2,03,quantile,0.35,2,ILI,11.43171419134659
2025,2,03,quantile,0.35,3,ILI,10.72036391066214
2025,2,03,quantile,0.35,4,ILI,9.77193722873888
2025,2,03,quantile,0.4,-1,ILI,10.6201
